title,type,genres,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,show_id,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Lakshya,movie,"Action, Drama, Romance",tt0323013,7.8,26113,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, CZ, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PS, PY, QA, RO, RS, SA, SC, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",s3143,Farhan Akhtar,"Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Om Puri, Sharad Kapoor, Rajendranath Zutshi, Sushant Singh, Prashant Chainani, Shakeel Khan, Ranvir Shorey",India,"December 15, 2019",2004,TV-PG,185 min,"Action & Adventure, Dramas, International Movies","After dropping out of the army, a spoiled teenager reenlists and proves his mettle by becoming an officer just as war breaks out."
Wake Up Sid,movie,"Comedy, Drama, Romance",tt1324059,7.6,34900,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CM, CO, CR, CV, DE, DO, DZ, EC, EG, FI, FJ, GG, GH, GI, GQ, GR, GT, HK, HR, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PS, PT, QA, RO, RS, SA, SC, SE, SG, SM, SN, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, ZA, ZM, ZW",s4613,Ayaan Mukherji,"Ranbir Kapoor, Konkona Sen Sharma, Shruti Bapna, Krutika Bolaki, Namit Das, Munir Kabani, Mohsin Ali Khan, Anupam Kher, Rahul Khanna, Kainaz Motivala",India,"October 1, 2018",2009,TV-14,132 min,"Comedies, International Movies, Romantic Movies",A spoiled trust fund brat finds himself stuck in a rut of meaningless late-night parties – until he meets a significantly older woman and writer.
Kisaan,movie,"Action, Crime, Drama",tt1372266,5.5,338,"BA, CI, CO, CV, DE, DZ, EG, GQ, IT, JO, KW, LB, MD, MZ, NE, PK, RO, RS, SA, SN, TN",s4579,Puneet Sira,"Jackie Shroff, Arbaaz Khan, Sohail Khan, Diya Mirza, Nauheed Cyrusi, Sharat Saxena, Dalip Tahil, Vishwajeet Pradhan, Sarfaraz Khan",India,"October 1, 2018",2009,TV-14,101 min,"Action & Adventure, Dramas, International Movies",A bitter family battle ensues between a father and his sons when a businessman makes a deal that entices farmers to sell off their properties.
Aagey Se Right,movie,"Comedy, Crime, Drama",tt1479667,5.2,429,"AE, AT, DZ, EG, JO, KW, LB, PT, TW",s4421,Indrajit Nattoji,"Shreyas Talpade, Kay Kay Menon, Shiv Pandit, Sanjay Sharma, Shenaz Treasury, Mahie Gill",India,"November 1, 2018",2009,TV-14,117 min,"Comedies, International Movies, Music & Musicals","A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
Cloudy with a Chance of Meatballs,movie,"Adventure, Animation, Comedy",tt0844471,6.9,264917,"AD, AL, AT, BA, BE, BG, CA, CH, CZ, DE, ES, FJ, GB, GG, GI, HK, HR, HU, ID, IE, IN, IS, JP, KR, LI, LU, ME, MK, MY, PH, PK, PL, RO, RS, SG, SI, SK, TH, TW",s331,"Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker","United States, Canada","August 1, 2021",2009,PG,90 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
Ninja Assassin,movie,"Action, Thriller",tt1186367,6.3,76462,"AU, JP, KR, NZ",s803,James McTeigue,"Rain, Naomie Harris, Ben Miles, Rick Yune, Shô Kosugi, Sung Kang, Richard van Weyden, Thorston Manderlay, Wladimir Tarasjanz, Eleonore Weisgerber","Germany, United States, France","June 2, 2021",2009,R,99 min,Action & Adventure,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.
Legion,movie,"Action, Fantasy, Horror",tt1038686,5.3,113924,"AD, AE, AG, AL, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CL, CO, CR, CU, CZ, DE, DO, DZ, EC, EG, ES, FR, GF, GG, GI, GT, HN, HR, HU, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KR, KW, LB, LC, LI, LU, LY, MA, MC, MD, ME, MK, MT, MU, MX, NI, NZ, OM, PA, PE, PF, PK, PL, PS, PY, QA, RO, RS, SA, SI, SK, SM, SV, TC, TN, TT, UA, US, UY, VE, YE",s7287,Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki, Charles S. Dutton, Jon Tenney, Kevin Durand, Willa Holland, Kate Walsh, Dennis Quaid, Jeanette Miller, Cameron Harlow, Doug Jones, Josh Stamberg, Yancey Arias",United States,"November 1, 2019",2010,R,100 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah.
Takers,movie,"Action, Crime, Drama",tt1135084,6.2,66512,"AE, AG, AR, AT, BB, BE, BH, BM, BO, BR, BS, BZ, CH, CL, CO, CR, CU, DE, DO, DZ, EC, EG, GF, GT, HN, HU, IN, IQ, JM, JO, JP, KR, KW, LB, LC, LI, LU, LY, MA, MX, NI, NL, OM, PA, PE, PK, PS, PY, QA, RO, SA, SV, TC, TN, TR, TT, US, UY, VE, YE",s1136,John Luessenhop,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",United States,"April 1, 2021",2010,PG-13,107 min,Action & Adventure,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.
Up in the Air,movie,"Comedy, Drama, Romance",tt1193138,7.4,352351,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, JP, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE",s8665,Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman, Amy Morton, Melanie Lynskey, J.K. Simmons, Sam Elliott, Danny McBride, Zach Galifianakis, Chris Lowell",United States,"January 1, 2020",2009,R,110 min,"Comedies, Dramas, Romantic Movies","Ryan Bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad Natalie."
Dear John,movie,"Drama, Romance, War",tt0989757,6.3,159391,"SG, TC",s139,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,"September 1, 2021",2010,PG-13,108 min,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
Richard Pryor: Live in Concert,movie,"Comedy, Documentary",tt0079807,8.0,5923,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s5705,Jeff Margolis,Richard Pryor,United States,"December 1, 2016",1979,TV-MA,79 min,Stand-Up Comedy,"Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself."
Season of the Witch,movie,"Action, Adventure, Fantasy",tt0479997,5.4,99303,"BM, GB, GG, GI, IE, MT, TC",s7967,Dominic Sena,"Nicolas Cage, Ron Perlman, Christopher Lee, Stephen Campbell Moore, Stephen Graham, Ulrich Thomsen, Claire Foy, Robert Sheehan, Kevin Rees, Andrew Hefler",United States,"April 26, 2019",2011,PG-13,95 min,"Action & Adventure, Sci-Fi & Fantasy",A group of weary warriors transport a suspected witch believed to be responsible for spreading the devastating Black Plague.
Benji,movie,"Adventure, Family, Romance",tt0071206,6.1,5290,"BE, NL",s4978,Brandon Camp,"Gabriel Bateman, Darby Camp, Kiele Sanchez, Jerod Haynes, Gralen Bryant Banks, Angus Sampson, Will Rothhaar, Jim Gleason, Brady Permenter","United Arab Emirates, United States","March 16, 2018",2018,TV-PG,87 min,"Children & Family Movies, Dramas",A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.
The Invention of Lying,movie,"Comedy, Fantasy, Romance",tt1058017,6.4,151521,"CA, CY, KR, TR",s8366,"Ricky Gervais, Matthew Robinson","Ricky Gervais, Jennifer Garner, Jonah Hill, Louis C.K., Jeffrey Tambor, Fionnula Flanagan, Rob Lowe, Tina Fey, Donna Sorbello, Stephanie March",United States,"January 1, 2020",2009,PG-13,99 min,"Comedies, Romantic Movies","In a world where no one fibs, a screenwriter gains fame and fortune – and maybe the girl of his dreams – by saying things that aren't true."
The Spy Next Door,movie,"Action, Comedy, Family",tt1273678,5.4,47688,"BM, CA, GB, GG, GI, IE, MT, TC",s8516,Brian Levant,"Jackie Chan, Amber Valletta, George Lopez, Billy Ray Cyrus, Magnús Scheving, Madeline Carroll, Will Shadley, Alina Foley, Katherine Boecher, Mia Stallard, Lucas Till",United States,"November 1, 2020",2010,PG,94 min,"Action & Adventure, Children & Family Movies, Comedies","While babysitting, an undercover agent is thrust back into the world of top-secret adventure when one his young charges downloads a classified file."
Paranormal Activity,movie,"Horror, Mystery",tt1179904,6.3,261004,"BE, NL",s7705,Oren Peli,"Katie Featherston, Randy McDowell, Amber Armstrong, Mark Fredrichs, Micah Sloat, Ashley Palmer, James Piper",United States,"January 1, 2020",2007,R,86 min,"Horror Movies, Thrillers","When Katie and Micah fear their home may be haunted by a demonic presence, Micah sets up a video camera to document all the action."
The Twilight Saga: Eclipse,movie,"Action, Adventure, Drama",tt1325004,5.1,265227,"AD, AO, AR, AT, AZ, BO, BR, BY, BZ, CA, CH, CI, CL, CM, CO, CR, DE, EC, EE, ES, GH, GQ, GR, GT, HN, ID, IN, JP, KE, KR, LI, LT, LU, LV, MD, MX, MY, MZ, NE, NG, NI, PA, PE, PH, PL, PT, PY, SC, SG, SN, SV, TH, TR, TZ, UA, UG, UY, VE, ZA, ZM, ZW",s450,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Billy Burke, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Ashley Greene, Nikki Reed",United States,"July 16, 2021",2010,PG-13,124 min,"Dramas, Romantic Movies","With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
The Rebound,movie,"Comedy, Romance",tt1205535,6.3,50746,"AT, CH, DE, LI",s8479,Shaina Allen,"Orlando Carrillo, Mario Moran, Jeremie Phenom Thomas",United States,"February 28, 2019",2016,TV-MA,77 min,"Documentaries, Sports Movies","This documentary follows three players on the Miami Heat Wheels, who face long odds on the way to the national wheelchair basketball championship."
The Time Traveler's Wife,movie,"Comedy, Drama, Fantasy",tt0452694,7.1,159994,PT,s8533,Robert Schwentke,"Rachel McAdams, Eric Bana, Arliss Howard, Ron Livingston, Stephen Tobolowsky, Michelle Nolden, Jane McLean, Hailey McCann, Tatum McCann, Brooklynn Proulx, Alex Ferris",United States,"October 1, 2019",2009,PG-13,107 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy","Due to a genetic disorder, handsome librarian Henry involuntarily zips through time, appearing at various moments in the life of his true love."
Kurbaan,movie,"Action, Crime, Drama",tt1185442,5.7,5578,"AE, AT, BA, BR, CO, DE, DZ, EG, FI, GR, IT, JP, KW, LB, MD, PK, PS, PT, RO, RS, SA, SE, SM, TN, TW",s4581,Renzil D'Silva,"Kareena Kapoor, Saif Ali Khan, Om Puri, Diya Mirza, Vivek Oberoi, Kulbhushan Kharbanda, Kiron Kher, Rupinder Nagra, Nauheed Cyrusi",India,"October 1, 2018",2009,TV-14,147 min,"International Movies, Thrillers","When a young Indian couple moves to the American suburbs, they are shocked to discover that they've become enmeshed in a secret terrorist plot."
Julie & Julia,movie,"Biography, Drama, Romance",tt1135503,7.0,130572,"CA, PL",s7148,Nora Ephron,"Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina, Linda Emond, Helen Carey, Mary Lynn Rajskub, Jane Lynch, Joan Juliet Buck",United States,"January 1, 2021",2009,PG-13,123 min,"Comedies, Dramas","In this heartwarming tale, Julie Powell decides to spice up her uneventful life by cooking all 524 recipes outlined in Julia Child's classic cookbook."
What's Your Raashee?,movie,"Comedy, Drama, Romance",tt1242530,4.8,2898,"AE, AT, DE, DZ, JO, KW, LB, PT, RO, SE, TN",s2127,Ashutosh Gowariker,"Harman Baweja, Priyanka Chopra, Manju Singh, Anjan Srivastav, Darshan Jariwala, Dilip Joshi, Vishwa Badola, Rajesh Vivek, Daya Shankar Pandey, Yuri Suri",India,"August 15, 2020",2009,TV-PG,203 min,"Comedies, International Movies, Music & Musicals","To protect his family from ruin, Yogesh must marry his dream girl in only ten days, so he rushes into dating women with different astrological signs."
Bill Hicks: Revelations,movie,"Comedy, Documentary",tt0152183,8.4,3263,RO,s4233,Chris Bould,Bill Hicks,United Kingdom,"December 31, 2018",1993,TV-MA,56 min,Stand-Up Comedy,"In his final recorded special, the iconoclastic comedian channels Goat Boy and tackles provocative topics like British porn, pot and the priesthood."
The Mirror Has Two Faces,movie,"Comedy, Drama, Romance",tt0117057,6.6,23340,"AG, AL, AR, AZ, BA, BB, BG, BM, BO, BR, BS, BY, BZ, CH, CL, CO, CR, CU, CZ, DK, DO, EC, FI, GF, GT, HN, HR, HU, IS, IT, JM, JP, KR, LC, MC, MD, ME, MK, MT, MX, NI, NO, NZ, PA, PE, PL, PY, RO, RS, SE, SI, SK, SM, SV, TC, TT, UA, UY, VE",s819,Barbra Streisand,"Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal, Mimi Rogers, Pierce Brosnan, Brenda Vaccaro, Austin Pendleton, Elle Macpherson, Ali Marsh, Leslie Stefanson, Taina Elg, Lucy Avery Brooke, Amber Smith",United States,"June 2, 2021",1996,PG-13,127 min,"Comedies, Dramas, Romantic Movies","Tired of being single, middle-aged professor Rose Morgan accepts her colleague's proposal – but her colleague only wants a platonic marriage."
Leap Year,movie,"Comedy, Romance",tt1216492,6.4,112015,"HK, ID, MY, PH, SG, TH, TW, TZ",s7275,Anand Tucker,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott","United States, Ireland","November 15, 2019",2010,PG,100 min,"Comedies, Romantic Movies","Anna chooses February 29 to propose marriage to her boyfriend, but after meeting a charming innkeeper, she must evaluate her original plans."
Accident,movie,"Mystery, Thriller",tt1202514,6.6,3856,"AE, AG, AL, AR, AU, AZ, BA, BB, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CL, CO, CR, CU, CY, DK, DO, EC, EE, EG, ES, FI, FJ, GB, GG, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, JM, JO, JP, KR, KW, LB, LC, LT, LV, MD, ME, MK, MX, MY, NI, NO, NZ, OM, PA, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SV, TC, TH, TR, TT, TW, US, UY, VE",s4331,Cheang Pou Soi,"Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok",Hong Kong,"December 1, 2018",2009,TV-MA,87 min,"International Movies, Thrillers",A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.
Stardust,movie,"Drama, Music",tt0072201,6.5,1214,"BG, CZ, EE, GR, HR, HU, IS, LI, LT, LV, PT, RO, SI, SK",s2315,Matthew Vaughn,"Claire Danes, Michelle Pfeiffer, Robert De Niro, Charlie Cox, Sienna Miller, Ricky Gervais, Jason Flemyng, Rupert Everett, Peter O'Toole, Mark Strong, Kate Magowan, Ian McKellen","United Kingdom, United States","July 1, 2020",2007,PG-13,128 min,"Action & Adventure, International Movies, Romantic Movies","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form."
Inception,movie,"Action, Adventure, Sci-Fi",tt1375666,8.8,2607951,"AD, AT, BA, BE, BG, CA, CH, CY, CZ, DE, ES, GR, HR, HU, IN, KR, LI, LU, MD, ME, MK, PL, PT, RO, RS, SI, SK",s341,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom","August 1, 2021",2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
Trailer Park Boys: Countdown to Liquor Day,movie,"Comedy, Crime",tt1337032,7.3,8019,"AG, AL, AO, AU, AZ, BA, BB, BG, BM, BS, BY, BZ, CA, CI, CM, CU, CV, CY, CZ, EE, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, HR, HU, ID, IE, IL, IN, IS, JM, KE, LC, LI, LT, LU, LV, MC, MD, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NZ, PA, PF, PH, PK, RO, RS, SC, SG, SI, SK, SN, TC, TH, TT, TZ, UG, US, ZA, ZM, ZW",s4966,Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith, John Dunsworth, Jonathan Torrens, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Barrie Dunn, Tyrone Parsons",Canada,"March 30, 2018",2009,R,102 min,"Comedies, Cult Movies","After their latest jail stint, boozy pals Julian, Bubbles and Ricky plan to go legit but learn trailer park manager Jim aims to demolish their homes."
The Bounty Hunter,movie,"Action, Comedy, Romance",tt1038919,5.5,135734,"BE, CH, DK, EE, FI, IT, LT, LV, MC, MT, NO, SE, SM, US",s8220,Andy Tennant,"Jennifer Aniston, Gerard Butler, Jason Sudeikis, Jeff Garlin, Ritchie Coster, Cathy Moriarty, Peter Greene, Joel Marsh Garland, Siobhan Fallon Hogan, Dorian Missick, Adam Rose, Christine Baranski, Carol Kane, Adam LeFevre",United States,"October 1, 2019",2010,PG-13,111 min,"Action & Adventure, Comedies, Romantic Movies","Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole."
The American,movie,"Action, Crime, Drama",tt1440728,6.3,103151,"BE, NL",s599,Anton Corbijn,"George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen, Irina Björklund, Filippo Timi, Anna Foglietta, Björn Granath","United States, United Kingdom","July 1, 2021",2010,R,105 min,"Dramas, Thrillers","Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him."
The Other Guys,movie,"Action, Comedy, Crime",tt1386588,6.6,293738,"AE, AO, BH, CA, CI, CM, CV, DZ, EG, FJ, GB, GG, GH, GI, GQ, HK, ID, IE, IN, IQ, JO, KE, KW, LB, LY, MA, MG, ML, MT, MY, MZ, NE, NG, NZ, OM, PH, PK, PS, QA, SA, SC, SG, SN, TH, TN, TR, TW, TZ, UG, US, YE, ZA, ZM, ZW",s8446,Adam McKay,"Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Steve Coogan, Ray Stevenson, Samuel L. Jackson, Dwayne Johnson, Lindsay Sloane, Natalie Zea",United States,"February 1, 2020",2010,PG-13,108 min,"Action & Adventure, Comedies",New York cops Allen and Terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work.
Kevin Hart: I'm a Grown Little Man,movie,"Comedy, Documentary",tt1420554,7.5,4900,"GG, SM",s2979,Shannon Hartman,Kevin Hart,United States,"January 30, 2020",2009,TV-MA,62 min,Stand-Up Comedy,"Stand-up comedy star Kevin Hart delivers his unique perspective on work, race, family and friends with this laugh-riot comedy show."
She's Gotta Have It,movie,"Comedy, Romance",tt0091939,6.8,16623,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s3800,,"DeWanda Wise, Cleo Anthony, Lyriq Bent, Anthony Ramos, Chyna Layne, Margot Bingham, Ilfanesh Hadera, Elvis Nolasco, De'Adre Aziza",United States,"May 24, 2019",2018,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.
Hachi: A Dog's Tale,movie,"Biography, Drama, Family",tt1028532,8.1,318888,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TD, TN, YE",s934,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander, Erick Avari, Davenia McFadden, Robbie Sublett, Kevin DeCoste, Rob Degnan","United Kingdom, United States","May 1, 2021",2009,G,93 min,"Children & Family Movies, Dramas","When his master dies, a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day."
Chloe,movie,"Drama, Mystery, Thriller",tt1352824,6.3,78922,CA,s6475,Atom Egoyan,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","United States, Canada, France","January 1, 2020",2009,R,96 min,"Independent Movies, Thrillers","Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify."
Kicking and Screaming,movie,"Comedy, Drama, Romance",tt0113537,6.7,15440,"AD, AO, AR, AT, AU, BE, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, DE, DK, EC, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, IE, IS, IT, KE, LI, LU, MC, MT, MX, MZ, NE, NG, NI, NO, NZ, PA, PF, PH, SC, SE, SM, SN, SV, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW",s7194,Noah Baumbach,"Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould",United States,"November 4, 2019",1995,R,97 min,"Comedies, Independent Movies, Romantic Movies","After graduating, four college roomies – petrified by the prospect of facing ""real life"" – reluctantly step into adulthood in this ensemble comedy."
Black Friday,movie,"Action, Crime, Drama",tt0400234,8.4,22328,HR,s1674,Anurag Kashyap,"Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun",India,"November 19, 2020",2004,TV-MA,162 min,"Dramas, International Movies",This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
Apaharan,movie,"Action, Crime, Drama",tt0451631,7.4,5309,"AE, AR, BO, BR, DZ, EG, IL, JO, KW, SA, TN, TW, UY",s1423,Prakash Jha,"Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan, Mohan Agashe, Mukesh Tiwari, Yashpal Sharma, Anoop Soni, Chetan Pandit",India,"January 8, 2021",2005,TV-14,161 min,"Dramas, International Movies","Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
Bright Star,movie,"Biography, Drama, Romance",tt0810784,6.9,28983,"AT, BE, CH, DE, LI",s116,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France","September 2, 2021",2009,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Chance Pe Dance,movie,"Comedy, Drama, Music",tt1392744,4.8,3175,"AE, AR, AT, CO, DE, DZ, EG, FI, GB, GR, HR, IT, KW, LB, MD, NO, PS, PT, RO, SA, SE, SM, TN, TW, UY",s4428,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah, Parikshat Sahni, Vikas Bhalla, Kurush Deboo, Zain Khan",India,"November 1, 2018",2010,TV-14,121 min,"Comedies, Dramas, International Movies","Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame."
Black,movie,Drama,tt0375611,8.1,36562,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DK, DO, DZ, EE, EG, ES, FJ, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HR, ID, IE, IL, IN, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NL, NO, NZ, PE, PH, PK, PL, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, US, ZA, ZM, ZW",s1973,Raja Chanda,"Soham Chakraborty, Bidya Sinha Mim, Ashish Vidyarthi, Rajatabha Dutta, Rudranil Ghosh, Kharaj Mukherjee",India,"September 19, 2020",2015,TV-14,137 min,"Action & Adventure, International Movies","A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime."
Voice,movie,Horror,tt0470967,6.2,1734,KR,s1770,,"Jang Hyuk, Lee Ha-na, Baek Sung-hyun, Ye-sung, Son Eun-seo, Kwon Jae-hwan, Lee Ju-seung, Kim Jae-wook",South Korea,"November 1, 2020",2018,TV-14,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows","A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder."
